generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,349,1.164306994996078e-05,1.5279804022550833e-05,1.3044233546130374e-05,5.871129154515896e-07
1,323,1.164306994996078e-05,1.5279804022550833e-05,1.3133901297718189e-05,6.385839678741023e-07
2,350,1.164306994996078e-05,1.5279804022550833e-05,1.3118566475588634e-05,5.818222114804472e-07
3,340,1.164306994996078e-05,1.5279804022550833e-05,1.3154690680246431e-05,6.141781149527324e-07
4,337,1.164306994996078e-05,1.5279804022550833e-05,1.3188694411868183e-05,6.561968591090425e-07
5,346,1.164306994996078e-05,1.5279804022550833e-05,1.3191791130104091e-05,6.573949276013537e-07
6,358,1.164306994996078e-05,1.5279804022550833e-05,1.3264874909125305e-05,6.733023729482099e-07
7,338,1.164306994996078e-05,1.5279804022550833e-05,1.3238121299389598e-05,6.524870959498334e-07
8,337,1.164306994996078e-05,1.5279804022550833e-05,1.3231478731583116e-05,6.661098201482005e-07
9,362,1.164306994996078e-05,1.5279804022550833e-05,1.3214735534746297e-05,6.526876704782393e-07
10,328,1.164306994996078e-05,1.5279804022550833e-05,1.3241975376467794e-05,6.481780083516406e-07
11,364,1.164306994996078e-05,1.5279804022550833e-05,1.3261775057290626e-05,6.527661867758067e-07
12,348,1.164306994996078e-05,1.5279804022550833e-05,1.327960177249493e-05,6.786270483758045e-07
13,331,1.164306994996078e-05,1.5279804022550833e-05,1.3291192158395489e-05,6.626261217193274e-07
14,343,1.164306994996078e-05,1.5279804022550833e-05,1.327699418734608e-05,6.490343647354903e-07
15,346,1.164306994996078e-05,1.5279804022550833e-05,1.3325468284720512e-05,6.763506693350938e-07
16,345,1.164306994996078e-05,1.5279804022550833e-05,1.3328956745341277e-05,7.106743135989798e-07
17,345,1.164306994996078e-05,1.5279804022550833e-05,1.3404424410184025e-05,6.910602256343546e-07
18,335,1.164306994996078e-05,1.5279804022550833e-05,1.3428040635774089e-05,7.038633712900789e-07
19,349,1.164306994996078e-05,1.5279804022550833e-05,1.3488070686521176e-05,7.314805110946979e-07
20,339,1.164306994996078e-05,1.5279804022550833e-05,1.3557702594779747e-05,7.810644657494453e-07
21,340,1.164306994996078e-05,1.5279804022550833e-05,1.3528059647855987e-05,7.538564641459513e-07
22,337,1.164306994996078e-05,1.5279804022550833e-05,1.351275268391099e-05,7.483507279275788e-07
23,329,1.164306994996078e-05,1.5279804022550833e-05,1.3585029152872407e-05,7.459903039547337e-07
24,335,1.164306994996078e-05,1.5279804022550833e-05,1.3597313418094392e-05,7.578383699117913e-07
25,340,1.164306994996078e-05,1.5279804022550833e-05,1.363480226047178e-05,7.314578295268447e-07
26,351,1.164306994996078e-05,1.5279804022550833e-05,1.370921800505874e-05,7.568891133121359e-07
27,349,1.164306994996078e-05,1.5279804022550833e-05,1.3757997780896648e-05,7.767545021926519e-07
28,354,1.2369706131689243e-05,1.5667585456983536e-05,1.3760753316962221e-05,7.649725253181179e-07
29,347,1.2388224650062527e-05,1.5279804022550833e-05,1.3898581111101565e-05,7.940444493102012e-07
30,343,1.2388224650062527e-05,1.5279804022550833e-05,1.3923519837245495e-05,7.77245636018667e-07
31,343,1.2388224650062527e-05,1.5279804022550833e-05,1.4014976488887302e-05,7.667745987709946e-07
32,346,1.2508629192431256e-05,1.5389708653509773e-05,1.4016548731356124e-05,7.545549588729967e-07
33,353,1.2765766886267916e-05,1.545120864026701e-05,1.4091720382190835e-05,7.61538127873386e-07
34,352,1.261795435821258e-05,1.545120864026701e-05,1.4199537787746631e-05,7.39457004821871e-07
35,354,1.2765766886267916e-05,1.545120864026701e-05,1.4206795836180731e-05,7.541878265818236e-07
36,336,1.2765766886267916e-05,1.545120864026701e-05,1.4247793486485603e-05,7.4428243429799e-07
37,350,1.2809150949845634e-05,1.545120864026701e-05,1.4291206733849311e-05,7.235568496095869e-07
38,330,1.2809150949845634e-05,1.545120864026701e-05,1.4308844451546427e-05,7.39360826889552e-07
39,325,1.2809150949845634e-05,1.545120864026701e-05,1.4370505152981688e-05,7.554406203580799e-07
40,342,1.2809150949845634e-05,1.545120864026701e-05,1.4353055289095503e-05,7.601647385008545e-07
41,344,1.2809150949845634e-05,1.545120864026701e-05,1.4378200657105854e-05,7.277003635897437e-07
42,339,1.2716343206662568e-05,1.545120864026701e-05,1.4405167495964112e-05,7.16738046031353e-07
43,336,1.2809150949845634e-05,1.5518524399867523e-05,1.4480576469479542e-05,6.928752594259193e-07
44,331,1.2835087934262448e-05,1.5614511401476206e-05,1.4498737200243173e-05,6.976089015344061e-07
45,351,1.2969322024365004e-05,1.5569086116976573e-05,1.4547421081968993e-05,6.571710057552896e-07
46,346,1.3106115984405499e-05,1.5569086116976573e-05,1.4595574762081813e-05,6.219481725276732e-07
47,352,1.3106115984405499e-05,1.5569086116976573e-05,1.4555515994284835e-05,6.648131297689493e-07
48,340,1.3080044276327655e-05,1.5569086116976573e-05,1.4637738753754627e-05,6.24215184985669e-07
49,341,1.3106115984405499e-05,1.5569086116976573e-05,1.4690025384312906e-05,6.277699332800356e-07
50,360,1.3106115984405499e-05,1.5569506544126244e-05,1.4671839621625272e-05,6.505770620779061e-07
51,353,1.3106115984405499e-05,1.564155177609548e-05,1.4701656954539683e-05,6.372285443281087e-07
52,323,1.3106115984405499e-05,1.564155177609548e-05,1.473122504476616e-05,6.282380999497251e-07
53,337,1.2991902510263707e-05,1.564155177609548e-05,1.4708048155005903e-05,6.656563009015202e-07
54,338,1.2991902510263707e-05,1.56723814066985e-05,1.4804942983610877e-05,6.021462852552158e-07
55,359,1.3106115984405499e-05,1.564155177609548e-05,1.4821913016028101e-05,5.735290772845834e-07
56,327,1.3106115984405499e-05,1.60192108413764e-05,1.4844259277769362e-05,5.509930274167464e-07
57,344,1.3106115984405499e-05,1.60192108413764e-05,1.4875603742975233e-05,5.455246986136402e-07
58,333,1.3106115984405499e-05,1.60192108413764e-05,1.484436987704555e-05,5.870819274149913e-07
59,349,1.2830930447212286e-05,1.60192108413764e-05,1.4864267316122073e-05,5.99492440385704e-07
60,351,1.281120443856289e-05,1.60192108413764e-05,1.4863320560934835e-05,6.015425163445319e-07
61,327,1.3041353044740157e-05,1.60192108413764e-05,1.4897894821204015e-05,5.757647592378451e-07
62,347,1.3041353044740157e-05,1.60192108413764e-05,1.4885633134536974e-05,6.288303301574822e-07
63,349,1.3041353044740157e-05,1.60192108413764e-05,1.4902040761386339e-05,6.519702740988211e-07
64,338,1.3041353044740157e-05,1.60192108413764e-05,1.4885513450135235e-05,6.776929055133711e-07
65,359,1.3041353044740157e-05,1.60192108413764e-05,1.4950466249171434e-05,6.100158960941526e-07
66,320,1.3041353044740157e-05,1.60192108413764e-05,1.495742306764896e-05,6.104301382118662e-07
67,352,1.3041353044740157e-05,1.60192108413764e-05,1.4969392707850061e-05,6.003438234712058e-07
